disease_id,phase,time_range,substrate,disease_severity_class,mechanism,organ_pages_to_link,evidence_anchors,B_cells,naive_B_cells,memory_B_cells,plasma_cells,CD4_T_cells,CD8_T_cells,naive_CD4_T_cells,naive_CD8_T_cells,memory_CD4_T_cells,memory_CD8_T_cells,memory_T_cells_pooled,regulatory_T_cells,NK_cells,neutrophils,eosinophils,basophils,granulocytes_pooled,monocytes,macrophages_peripheral,microglia,kupffer_cells,pulmonary_macrophages,oral_macrophages,dendritic_cells,IC_immune_pooled,leukocyte_pooled,PBMC,MPP,L_MPP,CMP,GMP,MEP,erythroblast,erythroid_progenitor,nRBC,megakaryocyte,OPC,NeuIm,HSPC_pooled,cortical_neurons,neurons_pooled,oligodendrocytes,cardiomyocytes,left_atrium,kera_diff,epi_upper,NeuMa,brain_pooled,skeletal_muscle,glia,astrocytes,breast_ductal,breast_lobular,breast_secretory_pooled,breast_LE,breast_BE,liver_hepatocytes,liver_bile_duct,cholangiocytes,pancreatic_beta_cells,pancreatic_acinar_cells,pancreatic_duct_cells,pancreatic_endocrine_pooled,pancreatic_exocrine_pooled,prostate_LE,prostate_BE,prostate_Fib,prostate_EC,prostate_SM,prostate_Leu,gastric_differentiated,gastric_antrum_diff,gastric_corpus_diff,gastric_fundus_diff,thyroid,esophageal_glandular,skin_melanocytes,head_neck_larynx_secretory,salivary,gastric_undifferentiated,gastric_antrum_undiff,gastric_corpus_undiff,gastric_fundus_undiff,colon_epithelial,small_intestine,rectal_epithelium,eso_basal,eso_epi_basal,eso_epi_stratified,eso_epi_suprabasal,lung_epithelial,lung_airway,kidney_epithelial,bladder_epithelial,bladder_loyfer_bulk,cervix_uterine,prostate_basal_cycling,breast_basal_cycling,skin_keratinocytes,pancreatic_ductal_cycling,head_neck_larynx,epithelial_cycling_pooled,fibroblasts,endothelial_cells,vascular_endothelial,adipocytes,smooth_muscle,cardiac_fibroblasts,cardiac_endothelial,cardiac_smooth_muscle,cardiac_stromal_pooled,pancreatic_stellate,hepatic_stellate,brain_astrocytes,osteoblasts,BMSC,placenta,mammary_stromal,stromal_pooled,HSC,stem_pluri,class_mean_secretory,class_mean_immune,class_mean_progenitor,class_mean_cycling,class_mean_terminal,class_mean_stromal,class_mean_stem_adult,class_mean_stem_pluri
colorectal_cancer,pre_malignant,colorectal polyp / adenoma (GSE282666),tumor_tissue_normalized,PRE_MALIGNANT,O5_data_integrity_flag_CCL040,cycling:colon,VAL-100 GSE282666 polyp PNP- A_immune=0.807 (+15.13 anchor-SD); CCL-040 noob-bg-corrected substrate caveat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rectal_cancer,long_pre_dx,>10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,EPIC_colorectal_rectal_arm,cycling:colon,"EXPLORATORY: EPIC rectum+rectosigmoid (c19+c20) ttd re-score, 115-cell A-score; n this window=2 (>10yr n=2 — unreliable); distinct from colon; vs 601 ctrl",0.08,0.17,-1.05,-1.37,0.44,0.47,0.34,0.39,0.13,0.19,0.16,-0.24,0.09,0.15,-0.44,-0.83,0.2,-0.27,-0.29,-0.81,-1.24,-0.59,-0.59,0.36,-0.71,-1.05,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,0.02,-0.5,-0.56,-0.8,-1.34,-0.88,-0.28
rectal_cancer,mid_pre_dx,5-10 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,EPIC_colorectal_rectal_arm,cycling:colon,"EXPLORATORY: EPIC rectum+rectosigmoid (c19+c20) ttd re-score, 115-cell A-score; n this window=10 (>10yr n=2 — unreliable); distinct from colon; vs 601 ctrl",0.43,0.34,0.36,0.17,0.26,0.29,0.31,0.25,0.32,0.18,0.25,0.19,0.23,-0.07,-0.0,0.04,-0.2,0.25,0.25,0.18,0.06,0.33,0.33,-0.03,0.23,0.03,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.39,0.35,0.34,0.33,0.31,0.01,-0.03
rectal_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,EPIC_colorectal_rectal_arm,cycling:colon,"EXPLORATORY: EPIC rectum+rectosigmoid (c19+c20) ttd re-score, 115-cell A-score; n this window=8 (>10yr n=2 — unreliable); distinct from colon; vs 601 ctrl",0.36,0.36,-0.02,-0.17,0.36,0.37,0.35,0.28,0.38,0.43,0.41,0.33,0.31,0.36,-0.13,-0.17,0.29,0.33,-0.2,-0.42,-0.29,-0.2,-0.2,-0.21,-0.27,0.05,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,0.28,0.02,-0.44,-0.12,-0.32,0.59,-0.27
rectal_cancer,near_dx,within 2 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,EPIC_colorectal_rectal_arm,cycling:colon,"EXPLORATORY: EPIC rectum+rectosigmoid (c19+c20) ttd re-score, 115-cell A-score; n this window=7 (>10yr n=2 — unreliable); distinct from colon; vs 601 ctrl",-0.03,-0.05,0.25,-0.18,-0.27,-0.32,-0.3,-0.26,-0.27,-0.06,-0.16,-0.37,-0.05,-0.19,-0.38,-0.05,-0.42,0.26,-0.09,-0.32,-0.24,-0.06,-0.06,-0.1,-0.29,0.37,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,-0.26,-0.15,-0.28,0.02,-0.05,0.54,-0.4
lung_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_positive,cycling:lung,"VAL-046 UK Biobank cohort-level n=680, VAL-056 Kadota field-effect d=+0.52 at 10mm",,,,,+0.35/+0.50,,,,,,,,,+0.5/+1.0,,,,+0.4/+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lung_cancer,tumor_tissue,TCGA-LUAD paired (largest cycling-class tissue effect),tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_smoking_dominant,cycling:lung,VAL-063 paired d=+1.020 p=3.93e-08; ever-smoker stratum d=+1.283; never-smoker n=2 d=+0.57 (underpowered),,,,,+0.7/+1.0,+0.7/+1.0,,,,,,,,+1.0/+1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.020,+1.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,mid_pre_dx,5-10 years before diagnosis (Rotterdam Study),whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,VAL-046 Rotterdam pancreatic n=182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,mid_late_pre_dx,2-5 years before diagnosis,whole_blood_buffy_coat,PRE_DIAGNOSTIC,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,VAL-067 GSE49149 n=196 d=+0.25 pooled CI straddles zero; bidirectional pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.4/+0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pancreatic_cancer,tumor_tissue,TCGA-PAAD paired (small-n + directional fallback),tumor_tissue_paired,ACTIVE_TUMOR,pooled_null_directional_pass_AD_instance,secretory:pancreatic_exocrine,"VAL-066 n=5 d=+1.18; VAL-068 n=7 d=−0.31; VAL-069 directional 324-CpG d=+1.51 | v1_10 2026-06-28: pancreatic_exocrine_pooled +1.18 REMOVED (VAL-066 pooled, bidirectionally cancelled, CI lower +0.04). Primary = Stage1_immune_directional_panel +1.51 (VAL-069, CCL-027). No validated PDAC exocrine cell-of-origin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prostate_cancer,at_dx,at clinical diagnosis (GSE269244 EPIC AA n=118),tumor_tissue_paired,ACTIVE,pooled_positive_balanced_bidirectional,secretory:prostate,VAL-058 paired d=+0.4973; VAL-118 reproduction d=+0.5258 (within ±0.10 tolerance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prostate_cancer,tumor_tissue,GSE269244 EPIC AA n=118 paired (multi-atlas),tumor_tissue_paired,ACTIVE_TUMOR,cell_of_origin_negative_microenv_positive_CCL039,secretory:prostate,VAL-058 + VAL-117 multi-atlas + VAL-118 reproduction; ProstateRef LE d=−1.78 luminal dedifferentiation,+0.674,,,,+0.659,+0.587,,,,,,,+0.645,+0.39,,,,+0.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.767,+0.477,+0.4/+0.6,+0.4/+0.6,+0.4/+0.6,+0.4/+0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,pre_malignant_fibrosis,liver fibrosis,plasma_cfDNA,PRE_MALIGNANT,substrate_restricted_ccfDNA,secretory:liver,VAL-059 GSE298812 dose-response Fib d=+0.44,,,,,+0.3/+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,pre_malignant_cirrhosis,cirrhosis,plasma_cfDNA,PRE_MALIGNANT,substrate_restricted_ccfDNA,"secretory:liver,immune:kupffer_cells",VAL-059 GSE298812 Cir d=+0.45,,,,,+0.4/+0.6,,,,,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,active_ccfDNA,active disease (substrate-restricted to plasma cfDNA),plasma_cfDNA,ACTIVE,substrate_restricted_ccfDNA_only,"secretory:liver,immune:kupffer_cells",VAL-059 GSE298812 HCC d=+0.634; whole-blood NULL d=−0.156 (substrate transferability flag),,,,,+0.5/+0.8,,,,,,,,,,,,,+0.5/+0.8,+0.5/+1.0,,-0.5/-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hcc,tumor_tissue,TCGA-LIHC paired n=46,tumor_tissue_paired,ACTIVE_TUMOR,pooled_positive_etiology_stratified,"secretory:liver,immune:kupffer_cells",VAL-064 paired pooled d=+0.498; non-viral d=+0.664; viral HBV+HCV d=+0.023 (NULL — paired contrast blunting per Villanueva 2015),,,,,,,,,,,,,,,,,,,+1.0/+1.5,,-1.0/-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gastric_cancer,tumor_tissue,TCGA-STAD primary tumor n=395,tumor_tissue,ACTIVE_TUMOR,pooled_positive_substrate_tier3_caveat,"cycling:gastric,secretory:gastric",VAL-126 sealed STAD d=+3.343 vs anchor; subtype hierarchy MSI ≈ EBV > CIN > GS within cohort; CHK-3.2 tier-3 substrate baseline -5.02 anchor-SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,,,+0.5/+1.0,,,,,,,,,,,+0.5/+1.0,,,,,,,,,+0.5/+1.0,,,,,,,,,,,+0.5/+1.0,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esophageal_cancer_escc,tumor_tissue,TCGA-ESCA primary tumor squamous (n=96),tumor_tissue,ACTIVE_TUMOR,pooled_positive_squamous_subtype_substrate_tier3,cycling:esophagus,"VAL-127 within-cohort all-ESCA d=+2.883; ESCC d=+2.644; d_ESCC-EAC=−1.064 | v1_10 2026-06-28: neutrophils/eosinophils/erythroid_progenitor SIGN-CORRECTED -1.5 -> positive per VAL-127 measured tiles (all ESCC tumor tiles +1.4..+3.4, global elevation). Prior -1.5 contradicted the data.",,,,,,,,,,,,,,+0.75/+1.99,+0.68,,,,,,,,,,,,,,,,,,,+1.10/+2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+0.5/+1.0,-0.99,,,,,,,,,,,,+0.5/+1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esophageal_cancer_eac,tumor_tissue,TCGA-ESCA primary tumor adeno (n=89),tumor_tissue,ACTIVE_TUMOR,pooled_positive_adenocarcinoma_subtype_substrate_tier3,cycling:esophagus,VAL-127 within-cohort EAC d=+3.703 (strongest in sprint),,,,,+1.0/+2.0,+1.0/+2.0,,,,,,,,,,,,+1.0/+2.0,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1.0/+2.0,,-0.05,,,,,,,,,,,,,,+1.0/+2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
